"","STATE","COUNTY","GROCPC","SNAPStoresPERTHO","SNAPRedemp","AMB_PAR06","PCT_FREE_LUNCH","PCT_REDUCED_LUNCH","PC_FRUVEG","PC_SNACKS","PC_SODA","PC_MEAT","PC_FATS","PC_PREPFOO","MILK_PRICE","SODA_PRICE","PCT_DIABET","PCT_OBESE_ADULTS","PCT_Child_OBESITY","PctNHWhite","PctNHBlack","PctHisp08","PctNHAsian","PctNHNA08","Median_Inc","Percent_Poverty","metro"
"16","Alabama","Coffee",0.128,0.44,246515,85,32.7,9,160,117,89,69,18,297,1.08,1,10.8,32.5,16.6,74.3,17.8,4.3,1.1,0.8,43145,15.2,0
"17","Alabama","Colbert",0.183,0.823,157130,86,38.9,10,172,112,74,74,18,292,0.94,0.99,13.5,35.7,14.7,80.5,16.3,1.5,0.3,0.4,39947,12.7,1
"18","Alabama","Conecuh",0.304,1.76,94548,108,81,5.3,160,117,89,69,18,297,1.08,1,13.6,32.6,18.9,54.9,42.8,1.2,0.1,0.2,27068,24.9,0
"19","Alabama","Coosa",NA,0.74,78635,73,52.9,10.7,172,112,74,74,18,292,0.94,0.99,12.9,34.5,8.6,66.2,31,1.6,0.1,0.4,36050,15.7,0
"20","Alabama","Covington",0.244,1.302,173751,93,42.7,10.7,172,112,74,74,18,292,0.94,0.99,12.8,31.6,5.7,84.3,13,1.1,0.3,0.6,33773,18.9,0
"21","Alabama","Crenshaw",0.436,1.672,77446,88,46.5,12.8,172,112,74,74,18,292,0.94,0.99,12.4,34.6,18.7,71.9,25.2,1.4,0.1,0.5,34402,18.9,0
"22","Alabama","Cullman",0.124,0.775,121392,73,35.1,11.3,172,112,74,74,18,292,0.94,0.99,10.7,29.4,16.7,93,1.7,3.8,0.2,0.3,39276,14.8,0
"23","Alabama","Dale",0.166,0.559,280804,83,45.8,8.2,160,117,89,69,18,297,1.08,1,12.5,33.1,11.1,71.6,20.5,4.3,1.1,0.6,42867,15,0
"24","Alabama","Dallas",0.256,1.47,259087,85,76,7.3,172,112,74,74,18,292,0.94,0.99,15.1,41.2,8.9,31,67.1,0.8,0.4,0.1,27992,29.9,0
"25","Alabama","DeKalb",0.177,0.905,124755,79,46.8,11.4,172,112,74,74,18,292,0.94,0.99,11.1,31.7,20.7,85.7,1.9,10.2,0.2,0.7,35377,18.7,0
"26","Alabama","Elmore",0.155,0.538,221841,85,34.2,9.4,172,112,74,74,18,292,0.94,0.99,10.3,28.5,9.3,74.2,21.8,1.9,0.6,0.4,53296,11.4,1
"27","Alabama","Escambia",0.24,0.907,205117,112,52.3,10,160,117,89,69,18,297,1.08,1,11.4,35.2,12.1,61.9,32,1.4,0.3,3.1,32009,24.1,0
"28","Alabama","Etowah",0.243,0.823,150020,79,41.7,11,172,112,74,74,18,292,0.94,0.99,10.7,32.5,20.2,80.7,14.6,2.9,0.5,0.3,37264,16.7,1
"29","Alabama","Fayette",0.284,0.622,239649,85,36.3,9.8,172,112,74,74,18,292,0.94,0.99,12.5,33,9,85.4,12.4,1.1,0.3,0.2,34092,19.8,0
"30","Alabama","Franklin",0.23,0.714,239399,80,46.2,13.3,172,112,74,74,18,292,0.94,0.99,11.2,29.8,20.7,81.1,4.2,13.3,0.3,0.3,35248,19.5,0
"31","Alabama","Geneva",0.428,0.695,191702,80,44,9.2,160,117,89,69,18,297,1.08,1,12.5,32.3,14.4,85.1,10.5,2.6,0.2,0.8,32027,17.8,1
"32","Alabama","Greene",0.652,1.308,117395,90,85.3,6.5,172,112,74,74,18,292,0.94,0.99,17.4,43.5,18.2,20.6,77.9,0.8,0.2,0.1,26001,30.3,1
"33","Alabama","Hale",0.277,0.716,196295,81,63,9.4,172,112,74,74,18,292,0.94,0.99,14.4,38.6,7.5,40.6,57.5,1.2,0.1,0.2,31091,26,1
"34","Alabama","Henry",0.241,1.085,94650,76,54.2,10.4,160,117,89,69,18,297,1.08,1,12.8,33.3,15.9,66.4,30.3,2.4,0.1,0.2,36453,18.6,1
"35","Alabama","Houston",0.165,0.802,233220,84,46.9,8.1,160,117,89,69,18,297,1.08,1,11.7,33,18.9,70.3,25.6,2,0.7,0.3,42523,15.1,1
"36","Alabama","Jackson",0.302,0.828,146724,81,41.9,13,160,117,89,69,18,297,1.08,1,11.6,30.8,11,90.3,3.6,1.8,0.3,1.8,36597,16.9,0
"37","Alabama","Jefferson",0.205,0.681,201471,85,40.2,6.9,172,112,74,74,18,292,0.94,0.99,12.4,31.1,12,53.6,40.9,3.1,1.3,0.3,46269,13.8,1
"38","Alabama","Lamar",0.277,0.909,122124,81,39,11.2,160,117,89,69,18,297,1.08,1,11.7,29.8,16.5,85.6,11.7,1.8,0.1,0.1,32424,18.2,0
"39","Alabama","Lauderdale",0.158,0.684,174505,85,35.7,8,172,112,74,74,18,292,0.94,0.99,11.9,30.1,15.1,86.7,10.1,1.6,0.4,0.3,38592,17,1
"40","Alabama","Lawrence",0.205,0.615,141280,82,39.6,12.1,172,112,74,74,18,292,0.94,0.99,13,32.1,14,77.2,12.2,1.8,0.2,5.1,40655,15,1
"41","Alabama","Lee",0.107,0.391,202010,84,34.1,7.7,160,117,89,69,18,297,1.08,1,9.4,30.2,9.2,71.8,23,2.1,1.8,0.2,41770,15.5,1
"42","Alabama","Limestone",0.135,0.604,153920,75,30.4,8.1,172,112,74,74,18,292,0.94,0.99,9.8,27.7,23.1,80.5,13.2,4.1,0.7,0.4,46151,12.1,1
"43","Alabama","Lowndes",0.236,1.186,114447,92,79.7,7.5,172,112,74,74,18,292,0.94,0.99,16.4,40.3,10.9,29,69.1,1,0.1,0.1,30225,25.4,1
"44","Alabama","Macon",0.224,0.718,309183,94,76.2,5.9,172,112,74,74,18,292,0.94,0.99,15.2,40.2,17.3,15.3,81.7,1.1,1,0.2,27314,30.5,0
"45","Alabama","Madison",0.112,0.548,161204,80,26.9,6.3,172,112,74,74,18,292,0.94,0.99,12.1,30.9,14.1,68.5,23.9,2.9,2.2,0.7,55324,11.3,1
"46","Alabama","Marengo",0.283,1.187,198068,80,61.7,6.3,160,117,89,69,18,297,1.08,1,14.6,37,9.7,46.2,50.9,1.9,0.2,0.1,32381,22.6,0
"47","Alabama","Marion",0.169,0.848,178992,83,30.5,13.6,172,112,74,74,18,292,0.94,0.99,11.3,29.3,28.1,92.9,4,1.8,0.2,0.3,31602,19.6,0
"48","Alabama","Marshall",0.194,0.791,184148,85,40.2,9.3,172,112,74,74,18,292,0.94,0.99,11.4,27.4,17.3,85.7,1.9,10.4,0.5,0.5,36981,18,0
"49","Alabama","Mobile",0.151,1.009,198444,115,57,7.8,149,103,71,69,16,281,1.06,1.01,11.8,29.9,10.9,60.4,34.2,1.9,1.8,0.6,40951,18.6,1
"50","Alabama","Monroe",0.396,1.463,142172,104,52,10.9,160,117,89,69,18,297,1.08,1,13.6,36.2,6.9,56.4,40.3,0.9,0.3,1.1,34072,21.8,0
"51","Alabama","Montgomery",0.168,0.827,261676,94,57.4,7.7,172,112,74,74,18,292,0.94,0.99,11.7,33,12,41.9,53.6,2,1.3,0.3,43297,17.6,1
"52","Alabama","Morgan",0.192,0.621,159314,82,35,8.2,172,112,74,74,18,292,0.94,0.99,11.1,35,20.3,80,11.7,5.9,0.6,0.6,46284,12.5,1
"53","Alabama","Perry",0.373,2.161,129073,89,94.2,1.8,172,112,74,74,18,292,0.94,0.99,17,40.2,5.4,30.7,67.2,1.3,0.1,0.1,26513,31.7,0
"54","Alabama","Pickens",0.306,1.076,133395,87,58.8,8.8,160,117,89,69,18,297,1.08,1,14.6,35.3,10.2,55.7,42.3,1,0.1,0.1,31053,25.6,0
"55","Alabama","Pike",0.265,1.185,199310,84,56.8,8.8,172,112,74,74,18,292,0.94,0.99,12.2,36.7,14.4,58.9,36.5,1.8,0.9,0.7,32284,22.5,0
"56","Alabama","Randolph",0.179,1.017,176926,79,44.8,10.5,216,110,57,113,16,294,1.11,1.06,11.7,31.7,13.6,75.1,21.9,1.8,0.3,0.2,34185,17.3,0
"57","Alabama","Russell",0.259,0.97,325447,83,60.6,9.3,160,117,89,69,18,297,1.08,1,12.9,34.8,11.2,53.6,41.4,2.8,0.6,0.4,28855,23.3,1
"58","Alabama","St. Clair",0.179,0.589,185294,81,32.1,8.8,172,112,74,74,18,292,0.94,0.99,10.7,33.9,9.2,87.6,9.3,1.5,0.4,0.3,48804,12.6,1
"59","Alabama","Shelby",0.131,0.309,170880,82,17.1,5.3,172,112,74,74,18,292,0.94,0.99,7.4,28.1,17.2,83.3,10.3,3.9,1.5,0.3,71785,5.8,1
"60","Alabama","Sumter",0.3,1.734,134073,86,69.2,5.1,160,117,89,69,18,297,1.08,1,16,40,15.2,26.5,71.4,1.3,0.1,0.1,24221,32.9,0
"61","Alabama","Talladega",0.1,0.785,196008,86,52.4,10.2,172,112,74,74,18,292,0.94,0.99,12.8,32.8,6.9,65.7,31.5,1.4,0.3,0.2,35487,18.7,0
"62","Alabama","Tallapoosa",0.123,0.564,268804,83,45,8.8,172,112,74,74,18,292,0.94,0.99,14.2,33,15,72,25.7,1.1,0.3,0.3,35293,19.5,0
"63","Alabama","Tuscaloosa",0.203,0.713,162583,88,40.5,9.1,172,112,74,74,18,292,0.94,0.99,10.7,32.2,10.8,65.3,30.6,1.8,1.2,0.2,43744,17.3,1
"64","Alabama","Walker",0.248,0.739,187864,87,39.8,9.9,172,112,74,74,18,292,0.94,0.99,11.9,32.4,16.5,90.7,6.5,1.4,0.2,0.3,36221,17.4,1
"65","Alabama","Washington",0.232,1.163,64591,92,46.9,8.3,160,117,89,69,18,297,1.08,1,13.2,34.6,12.7,64.6,25.5,1.1,0.1,7.7,37076,18.2,0
"66","Alabama","Wilcox",0.705,1.953,75503,87,86.4,2.7,172,112,74,74,18,292,0.94,0.99,16.2,39.4,15.6,26.7,71.5,1.2,0.1,0.1,23090,30.2,0
"67","Alabama","Winston",0.372,1.043,134414,84,39.2,14.6,172,112,74,74,18,292,0.94,0.99,10.5,28.3,9.1,95.2,0.7,2.6,0.1,0.5,32018,18.3,0
"68","Alaska","Aleutians East",1.783,2.847,21793,181,38.2,2.6,NA,NA,NA,NA,NA,NA,NA,NA,5.4,28.2,NA,19,1.7,15.3,35.2,26,52786,15.3,0
"69","Alaska","Aleutians West",1.071,1.546,30048,255,8.5,2.3,NA,NA,NA,NA,NA,NA,NA,NA,5.5,28.9,NA,30.6,3.8,13.2,27.3,21.3,62849,9,0
"70","Alaska","Anchorage",0.123,0.344,259570,117,23.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,6.8,25.9,NA,65.5,6.5,8.1,6.4,7.8,74396,7.2,1
"71","Alaska","Bethel",1.226,3.307,210489,184,62.8,6.3,NA,NA,NA,NA,NA,NA,NA,NA,5.3,34.4,NA,12.4,1.1,2.3,1.3,79.4,41755,21.5,0
"72","Alaska","Bristol Bay",3.036,3.148,37069,206,38.6,7.9,NA,NA,NA,NA,NA,NA,NA,NA,6.7,34.2,NA,46,0.7,2,0.5,47.1,67214,7.8,0
"73","Alaska","Denali",NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,28.4,NA,80.1,1.6,6.3,1.8,5.4,70720,5.4,0
"74","Alaska","Dillingham",0.806,1.824,216516,159,69.1,6,NA,NA,NA,NA,NA,NA,NA,NA,7.3,37.3,NA,21.1,0.4,3.1,0.6,68.6,50827,19.6,0
"75","Alaska","Fairbanks North Star",0.071,0.235,325749,123,14.7,7.9,NA,NA,NA,NA,NA,NA,NA,NA,4.6,26.1,NA,74.2,5.6,6.6,2.4,7.2,65473,7.5,1
"76","Alaska","Haines",0.44,1.321,70835,140,27.7,8,NA,NA,NA,NA,NA,NA,NA,NA,6.6,28.2,NA,81.1,0.3,1.4,0.7,12.1,48299,10.4,0
"77","Alaska","Juneau",0.262,0.387,249766,132,13.5,2.8,NA,NA,NA,NA,NA,NA,NA,NA,5.7,26.7,NA,70.4,1.2,4.8,5,11.9,71313,6.7,0
"78","Alaska","Kenai Peninsula",0.471,0.674,126516,124,23.9,8,NA,NA,NA,NA,NA,NA,NA,NA,6.7,29.4,NA,83.8,0.7,3.1,1,7.6,54206,10.3,0
"79","Alaska","Ketchikan Gateway",0.304,0.761,220126,123,27.1,5.6,NA,NA,NA,NA,NA,NA,NA,NA,7.5,33.1,NA,69.5,0.9,3.7,5.3,15,58689,8.7,0
"80","Alaska","Kodiak Island",0.385,0.996,97640,127,31,10.6,NA,NA,NA,NA,NA,NA,NA,NA,6.5,26.6,NA,55.1,1.5,8.2,15.7,14.2,61525,8,0
"81","Alaska","Lake and Peninsula",NA,5.376,21161,226,64,5.7,NA,NA,NA,NA,NA,NA,NA,NA,7.2,34,NA,21.2,0.1,2,0.4,68.5,43687,17.2,0
"82","Alaska","Matanuska-Susitna",0.109,0.421,248434,118,23.1,8,NA,NA,NA,NA,NA,NA,NA,NA,6.1,28.7,NA,83.8,1.5,3.7,1,6,71575,9.3,1
"83","Alaska","Nome",1.292,3.131,217593,164,55.3,10.1,NA,NA,NA,NA,NA,NA,NA,NA,6.5,31.4,NA,17.7,0.6,2.3,1,74.1,46892,20.9,0
"84","Alaska","North Slope",1.376,1.814,138421,229,29.9,8.3,NA,NA,NA,NA,NA,NA,NA,NA,7.2,37,NA,13,1.1,7.8,6.9,64.3,72499,11.4,0
"85","Alaska","Northwest Arctic",0.536,2.799,179427,194,65.8,4.4,NA,NA,NA,NA,NA,NA,NA,NA,6.5,32.2,NA,12.9,0.4,5.7,0.9,76.3,57721,16.5,0
"86","Alaska","Prince of Wales-Outer Ketchikan",0.905,0.904,247517,133,40,5.5,NA,NA,NA,NA,NA,NA,NA,NA,6.8,34.2,NA,51.4,0.2,2.7,0.4,37.8,44491,15.2,0
"87","Alaska","Sitka",0.339,0.562,156880,117,27.3,6.2,NA,NA,NA,NA,NA,NA,NA,NA,6.4,28.7,NA,64,0.4,5.4,4.6,17.8,61436,7.8,0
"88","Alaska","Skagway-Hoonah-Angoon",NA,NA,60138,167,29.4,5.7,NA,NA,NA,NA,NA,NA,NA,NA,6.9,34.3,NA,NA,NA,NA,NA,NA,NA,NA,0
"89","Alaska","Southeast Fairbanks",0.295,1.185,114310,127,29.7,6.1,NA,NA,NA,NA,NA,NA,NA,NA,6.2,32.7,NA,76.1,2.8,4.5,0.7,11.5,59124,13.3,0
"90","Alaska","Valdez-Cordova",0.843,1.495,38280,186,21.7,6.9,NA,NA,NA,NA,NA,NA,NA,NA,6.3,31.8,NA,71.3,0.4,4.3,4.6,13.7,58946,8.5,0
"91","Alaska","Wade Hampton",2.24,3.369,280106,201,77.2,9.3,NA,NA,NA,NA,NA,NA,NA,NA,5.9,29.9,NA,5.8,0.3,1.8,0.1,89.3,33033,29.2,0
"92","Alaska","Wrangell-Petersburg",0.837,0.846,153152,136,27.7,3.6,NA,NA,NA,NA,NA,NA,NA,NA,7,25.4,NA,69.5,0.3,3,2,16.6,54274,9.8,0
"93","Alaska","Yakutat",2.937,3.044,44627,139,18.8,54.7,NA,NA,NA,NA,NA,NA,NA,NA,7.1,28.7,NA,47.8,0.2,0.9,1.5,39.4,54401,13.3,0
"94","Alaska","Yukon-Koyukuk",1.719,7.192,52283,204,26.5,3.3,NA,NA,NA,NA,NA,NA,NA,NA,7,29.4,NA,23.6,0.2,2.4,0.4,69.3,33900,24.9,0
"95","Arizona","Apache",0.158,0.684,300165,90,26.7,32.7,157,109,60,55,17,299,0.89,0.99,12.8,31.5,10.2,19.9,1.1,5.9,0.4,71.5,31728,33.2,0
"96","Arizona","Cochise",0.125,0.775,179688,99,40.5,9.8,157,109,60,55,17,299,0.89,0.99,8.4,22.4,9,59,4.3,31.7,1.8,0.9,44000,16,0
"97","Arizona","Coconino",0.157,0.513,288099,100,34.7,6.5,157,109,60,55,17,299,0.89,0.99,6.8,21.5,8.3,55.4,1.2,12.3,1.1,28.2,47933,16,1
"98","Arizona","Gila",0.135,0.843,246385,99,45.3,8.3,157,109,60,55,17,299,0.89,0.99,11.4,27.1,12.9,66.7,0.6,17.2,0.6,13.7,38405,16.1,0
"99","Arizona","Graham",0.172,0.604,277062,104,16.4,6.1,157,109,60,55,17,299,0.89,0.99,9.2,28.7,11.4,54.2,2,28.1,0.5,14.2,40902,21.4,0
"100","Arizona","Greenlee",0.388,1.375,34960,134,23.9,9.1,157,109,60,55,17,299,0.89,0.99,8.2,31.6,15.5,50.9,1,44.9,0.2,1.9,53654,11.3,0
"101","Arizona","La Paz",0.398,1.294,112927,87,57.8,12.6,157,109,60,55,17,299,0.89,0.99,11.2,28,NA,63.8,1,22.4,0.4,10.8,32973,26.1,0
"102","Arizona","Maricopa",0.13,0.443,234344,99,29.7,8.5,157,109,60,55,17,299,0.89,0.99,7.7,22.5,14.8,58.8,4.2,31,2.8,1.6,56511,13.4,1
"103","Arizona","Mohave",0.123,0.499,338671,87,40,9.1,157,109,60,55,17,299,0.89,0.99,9.3,26.2,12,79.9,1.1,14.3,1.1,2,38641,16.8,0
"104","Arizona","Navajo",0.171,0.709,362094,108,44.7,14.9,157,109,60,55,17,299,0.89,0.99,12.7,26.1,9.8,42,1,9.9,0.4,45.3,39416,23.1,0
"105","Arizona","Pima",0.122,0.489,259742,93,29.1,7,157,109,60,55,17,299,0.89,0.99,7.8,21.2,15.2,57.3,3.1,33.1,2.4,2.6,46653,15.4,1
"106","Arizona","Pinal",0.113,0.391,234708,100,34.8,11.6,157,109,60,55,17,299,0.89,0.99,8,28.1,12.4,58.3,3.7,29.9,1.6,5,50208,14,1
"107","Arizona","Santa Cruz",0.235,0.559,355538,86,59.9,12.4,157,109,60,55,17,299,0.89,0.99,6.1,21.6,15.8,18.4,0.3,80.2,0.5,0.3,38490,18.5,0
"108","Arizona","Yavapai",0.193,0.427,191080,95,29.1,9.5,157,109,60,55,17,299,0.89,0.99,7.5,17.7,10.4,82.2,0.8,13.3,0.8,1.5,42311,12.9,1
"109","Arizona","Yuma",0.195,0.545,308137,82,53.8,7.6,157,109,60,55,17,299,0.89,0.99,9.5,25.7,18.3,39.5,2,55.6,1,1,39063,21.5,1
"110","Arkansas","Arkansas",0.258,0.884,252877,89,49.1,9.3,143,104,70,67,17,281,0.93,1,10.8,33.3,14.9,72.4,24.7,1.3,0.4,0.2,37295,20.1,0
"111","Arkansas","Ashley",0.269,0.945,226650,95,78.6,3.1,144,100,69,69,16,257,1.05,1,11.2,34.6,12.6,67.4,26.8,4.7,0.2,0.2,36079,18.3,0
"112","Arkansas","Baxter",0.167,0.689,163323,88,46.3,9,144,100,69,69,16,257,1.05,1,11.9,26.1,10.2,96,0.7,1.4,0.3,0.5,34666,16.8,0
"113","Arkansas","Benton",0.123,0.429,187107,89,35.1,9.7,144,100,69,69,16,257,1.05,1,7.9,27,15.4,78.4,1.6,14.6,2,1.7,51397,11.1,1
"114","Arkansas","Boone",0.136,0.624,250613,84,39.1,12,144,100,69,69,16,257,1.05,1,9.5,27.8,12.8,95.5,0.9,1.4,0.4,0.8,35729,15,0
"115","Arkansas","Bradley",0.334,0.924,191087,90,62.3,13,143,104,70,67,17,281,0.93,1,11.1,30.7,19.8,59.3,28.1,11.7,0.1,0.2,30621,24.1,0
"116","Arkansas","Calhoun",0.181,0.92,39085,85,40.7,13.8,143,104,70,67,17,281,0.93,1,11.7,30.7,15,72.8,23.3,2.6,NA,0.3,34908,16.5,0
"117","Arkansas","Carroll",0.183,0.472,229744,81,49.5,11.8,144,100,69,69,16,257,1.05,1,9.9,25.2,15,82.5,0.4,14.5,0.4,1,33594,15.6,0
"118","Arkansas","Chicot",0.487,1.001,247911,92,90.7,5.7,143,104,70,67,17,281,0.93,1,13.7,35.2,13.2,40.5,53.5,4.4,0.5,0.1,24809,30.4,0
"119","Arkansas","Clark",0.168,0.544,258265,83,46.7,12.7,143,104,70,67,17,281,0.93,1,9.4,31.5,13.3,71.2,22.1,4.1,0.8,0.5,34327,21.8,0
"120","Arkansas","Clay",0.248,0.757,121054,87,46.6,13.2,172,112,74,74,18,292,0.94,0.99,10.7,30,14,96,0.6,1.5,0.2,0.8,31910,18.1,0
"121","Arkansas","Cleburne",0.394,0.906,108074,85,42.2,13.5,143,104,70,67,17,281,0.93,1,11.4,27.9,10.9,95.6,1.1,1.8,0.1,0.4,36707,15.2,0
"122","Arkansas","Cleveland",0.229,0.808,54333,87,41.8,9.2,143,104,70,67,17,281,0.93,1,11.4,31.5,13,82.2,14.1,2.1,0.2,0.3,39567,19.5,1
"123","Arkansas","Columbia",0.205,1.035,244145,95,53.3,8.2,144,100,69,69,16,257,1.05,1,11.8,31,13.5,59.7,37,1.7,0.4,0.3,35162,20.7,0
"124","Arkansas","Conway",0.241,1.012,176125,88,47.3,11.8,143,104,70,67,17,281,0.93,1,9.3,28.8,16.7,83.3,11.8,2.9,0.2,0.5,36026,17.1,0
"125","Arkansas","Craighead",0.242,0.712,233478,89,45.4,9.2,172,112,74,74,18,292,0.94,0.99,8.6,29.3,13.4,83.2,11.3,3.4,0.7,0.3,39989,17.5,1
"126","Arkansas","Crawford",0.17,0.57,233891,82,42.1,10.1,143,104,70,67,17,281,0.93,1,7.9,29,13.1,87.9,1.4,5.3,1.2,2,42112,15.6,1
"127","Arkansas","Crittenden",0.269,0.818,381503,97,79.8,3.7,172,112,74,74,18,292,0.94,0.99,12.7,34.2,13.9,47.5,48.6,2,0.7,0.3,35112,20.5,1
"128","Arkansas","Cross",0.214,0.638,267578,97,55.8,8.5,172,112,74,74,18,292,0.94,0.99,11.3,30.9,10.1,74.3,23,1.3,0.3,0.3,34489,18.7,0
"129","Arkansas","Dallas",0.243,1.105,180182,91,48.5,8.3,143,104,70,67,17,281,0.93,1,12.6,32.9,14.7,53.9,41.8,2.9,0.3,0.3,31608,21,0
"130","Arkansas","Desha",0.435,1.403,216690,92,68.1,8.5,143,104,70,67,17,281,0.93,1,12,33.6,14.7,47.1,47.2,4.1,0.4,0.4,27555,29,0
"131","Arkansas","Drew",0.161,0.911,327532,92,55.3,7,143,104,70,67,17,281,0.93,1,9.7,29.9,11.2,67.6,28,2.7,0.4,0.2,34919,20.4,0
"132","Arkansas","Faulkner",0.115,0.328,306704,91,31,8.4,143,104,70,67,17,281,0.93,1,8.2,29.1,12.9,83.9,10.6,3,0.8,0.5,43553,16.2,1
"133","Arkansas","Franklin",0.165,0.495,244615,82,39.5,8.9,143,104,70,67,17,281,0.93,1,10.9,32.2,17.7,93.5,1.3,2.2,0.6,1,38192,17,1
"134","Arkansas","Fulton",0.085,0.856,78109,89,50.1,11.8,144,100,69,69,16,257,1.05,1,10.5,28.5,8.8,96,0.7,1.1,0.2,0.7,30364,18.7,0
"135","Arkansas","Garland",0.156,0.616,231672,91,45.3,9.8,143,104,70,67,17,281,0.93,1,9.3,26.6,15.9,85.2,8.1,3.9,0.6,0.6,38020,16.1,1
"136","Arkansas","Grant",0.229,0.565,155884,78,31.3,13.4,143,104,70,67,17,281,0.93,1,9.3,30.5,10,92.9,3.7,1.8,0.3,0.4,45165,11.5,1
"137","Arkansas","Greene",0.124,0.664,250555,89,46.1,13.7,172,112,74,74,18,292,0.94,0.99,9.3,29.7,14.5,95.4,0.9,1.7,0.2,0.4,37017,16.6,0
"138","Arkansas","Hempstead",0.302,0.699,327221,84,66.1,9.1,144,100,69,69,16,257,1.05,1,11.4,32.2,16,56,28.3,13.7,0.2,0.4,34221,20.6,0
"139","Arkansas","Hot Spring",0.188,0.627,192573,90,45.2,11.5,143,104,70,67,17,281,0.93,1,9.7,31.6,14,84.4,11.2,2.3,0.2,0.6,37619,15.7,0
"140","Arkansas","Howard",0.286,0.778,212623,86,55.2,10.4,144,100,69,69,16,257,1.05,1,10.1,29.4,11.1,66.2,21.3,10.6,0.5,0.5,33219,21.3,0
"141","Arkansas","Independence",0.203,0.924,172321,92,48.4,13.1,143,104,70,67,17,281,0.93,1,9,27.9,11.9,91.9,2.4,2.9,1,0.5,36019,15.1,0
"142","Arkansas","Izard",0.309,1.078,77798,95,51.8,15.5,143,104,70,67,17,281,0.93,1,9.3,26.7,11.9,94.8,1.9,1.4,0.1,0.7,30941,19.7,0
"143","Arkansas","Jackson",0.349,0.827,236168,96,61.7,12.6,143,104,70,67,17,281,0.93,1,10,31.1,12.3,77.2,19.6,1.8,0.2,0.3,30490,24.9,0
"144","Arkansas","Jefferson",0.189,0.995,295719,96,61.2,7.4,143,104,70,67,17,281,0.93,1,11.6,34.9,8.3,43.3,52.7,1.5,1.1,0.4,38018,20.6,1
