Sale 1 Price;Sale 2 Price;Date Sale 1;Date Sale 2;City;Time Interval;Atlanta;Chicago;Dallas;Oakland
60000;116500;22;54;1;32;1;0;0;0
38000;60000;9;25;1;16;1;0;0;0
23400;47900;14;34;1;20;1;0;0;0
32500;73000;6;37;1;31;1;0;0;0
44700;135000;8;62;1;54;1;0;0;0
64000;67900;21;23;1;2;1;0;0;0
40900;47900;22;29;1;7;1;0;0;0
40400;49000;34;43;1;9;1;0;0;0
105000;140000;29;46;1;17;1;0;0;0
44500;59000;14;24;1;10;1;0;0;0
24000;61000;11;37;1;26;1;0;0;0
63000;53200;60;62;1;2;1;0;0;0
35000;60000;4;28;1;24;1;0;0;0
34500;65000;9;36;1;27;1;0;0;0
45000;45200;57;58;1;1;1;0;0;0
90500;93100;61;63;1;2;1;0;0;0
23000;44900;22;35;1;13;1;0;0;0
22400;41000;3;43;1;40;1;0;0;0
62000;57500;63;64;1;1;1;0;0;0
20000;24000;3;17;1;14;1;0;0;0
29700;29500;9;14;1;5;1;0;0;0
46000;55000;30;32;1;2;1;0;0;0
30000;41500;5;28;1;23;1;0;0;0
35000;86500;11;42;1;31;1;0;0;0
19000;34500;23;46;1;23;1;0;0;0
64900;90300;61;65;1;4;1;0;0;0
60500;90500;29;63;1;34;1;0;0;0
15500;43500;2;62;1;60;1;0;0;0
59500;59500;25;26;1;1;1;0;0;0
42900;61000;26;53;1;27;1;0;0;0
36500;49000;10;19;1;9;1;0;0;0
56400;64900;35;57;1;22;1;0;0;0
41500;42500;34;37;1;3;1;0;0;0
38000;53500;18;30;1;12;1;0;0;0
55000;57000;43;46;1;3;1;0;0;0
34000;52000;9;29;1;20;1;0;0;0
51500;56900;30;52;1;22;1;0;0;0
48000;61000;20;27;1;7;1;0;0;0
18000;33500;19;62;1;43;1;0;0;0
38500;57500;18;32;1;14;1;0;0;0
49900;62900;28;34;1;6;1;0;0;0
54000;82000;26;45;1;19;1;0;0;0
18800;47300;9;43;1;34;1;0;0;0
101000;101700;35;38;1;3;1;0;0;0
50000;100000;9;59;1;50;1;0;0;0
89000;110000;32;51;1;19;1;0;0;0
50000;55000;2;7;1;5;1;0;0;0
32000;63500;19;64;1;45;1;0;0;0
48000;65000;15;29;1;14;1;0;0;0
38000;36500;2;6;1;4;1;0;0;0
29500;59900;3;54;1;51;1;0;0;0
35500;68000;13;50;1;37;1;0;0;0
57900;66000;20;26;1;6;1;0;0;0
27500;28900;12;17;1;5;1;0;0;0
63900;98500;18;51;1;33;1;0;0;0
53500;78500;24;31;1;7;1;0;0;0
24500;69000;14;46;1;32;1;0;0;0
41300;91000;6;38;1;32;1;0;0;0
34000;80500;10;55;1;45;1;0;0;0
56500;63500;37;50;1;13;1;0;0;0
29900;39000;27;35;1;8;1;0;0;0
39800;52900;21;33;1;12;1;0;0;0
39700;54000;36;43;1;7;1;0;0;0
60600;94000;15;33;1;18;1;0;0;0
37500;75000;3;32;1;29;1;0;0;0
43000;43000;22;23;1;1;1;0;0;0
23500;27000;25;28;1;3;1;0;0;0
29800;54000;7;31;1;24;1;0;0;0
39000;46500;34;54;1;20;1;0;0;0
31000;85000;30;40;1;10;1;0;0;0
22800;32900;1;29;1;28;1;0;0;0
28000;41000;28;33;1;5;1;0;0;0
52500;65500;27;47;1;20;1;0;0;0
37500;62900;30;43;1;13;1;0;0;0
39000;42900;36;38;1;2;1;0;0;0
27000;40000;29;59;1;30;1;0;0;0
30500;39900;8;27;1;19;1;0;0;0
47000;60000;31;50;1;19;1;0;0;0
39000;39000;56;60;1;4;1;0;0;0
85700;76500;35;44;1;9;1;0;0;0
48000;69000;27;61;1;34;1;0;0;0
110000;113000;39;55;1;16;1;0;0;0
62000;76000;30;45;1;15;1;0;0;0
27000;55200;4;32;1;28;1;0;0;0
45000;142000;20;62;1;42;1;0;0;0
39200;54000;6;19;1;13;1;0;0;0
30500;44000;12;22;1;10;1;0;0;0
31900;54000;29;38;1;9;1;0;0;0
35900;73000;20;49;1;29;1;0;0;0
25900;29000;16;23;1;7;1;0;0;0
45900;72000;18;45;1;27;1;0;0;0
80500;84000;34;43;1;9;1;0;0;0
89000;175000;31;63;1;32;1;0;0;0
49500;49700;30;32;1;2;1;0;0;0
85500;109500;35;63;1;28;1;0;0;0
81300;78600;44;45;1;1;1;0;0;0
85000;82500;44;51;1;7;1;0;0;0
27200;49500;6;30;1;24;1;0;0;0
45000;115000;2;39;1;37;1;0;0;0
38500;50900;28;33;1;5;1;0;0;0
27000;39000;15;35;1;20;1;0;0;0
44300;81500;7;27;1;20;1;0;0;0
63000;67000;39;53;1;14;1;0;0;0
33000;47000;25;34;1;9;1;0;0;0
71000;74000;46;56;1;10;1;0;0;0
36000;43000;27;33;1;6;1;0;0;0
67500;65000;39;49;1;10;1;0;0;0
28700;30000;11;13;1;2;1;0;0;0
49900;56000;45;46;1;1;1;0;0;0
68000;93000;25;32;1;7;1;0;0;0
98800;98800;63;65;1;2;1;0;0;0
36000;36000;21;25;1;4;1;0;0;0
58000;57000;54;56;1;2;1;0;0;0
53500;67700;38;45;1;7;1;0;0;0
94200;147000;21;31;1;10;1;0;0;0
48000;62000;23;32;1;9;1;0;0;0
53300;71900;29;54;1;25;1;0;0;0
41900;48000;36;43;1;7;1;0;0;0
19000;29000;19;38;1;19;1;0;0;0
48000;41000;26;30;1;4;1;0;0;0
39000;46200;6;14;1;8;1;0;0;0
75500;76900;56;58;1;2;1;0;0;0
25300;61900;6;54;1;48;1;0;0;0
24500;28300;8;11;1;3;1;0;0;0
56900;57000;28;29;1;1;1;0;0;0
32500;62000;7;37;1;30;1;0;0;0
32500;50100;28;44;1;16;1;0;0;0
122500;139500;39;54;1;15;1;0;0;0
30500;31500;7;9;1;2;1;0;0;0
34400;56500;34;55;1;21;1;0;0;0
25000;30500;21;33;1;12;1;0;0;0
57000;79000;32;47;1;15;1;0;0;0
118000;144500;32;46;1;14;1;0;0;0
47400;68000;29;47;1;18;1;0;0;0
33400;50000;9;57;1;48;1;0;0;0
65000;52200;25;28;1;3;1;0;0;0
69800;70500;32;44;1;12;1;0;0;0
30000;31000;12;15;1;3;1;0;0;0
72000;72000;58;59;1;1;1;0;0;0
58900;81900;29;56;1;27;1;0;0;0
34000;70000;26;38;1;12;1;0;0;0
34000;62000;5;30;1;25;1;0;0;0
25000;33500;7;29;1;22;1;0;0;0
69500;91900;27;51;1;24;1;0;0;0
28500;28500;8;9;1;1;1;0;0;0
60000;103000;24;39;1;15;1;0;0;0
90000;90000;58;62;1;4;1;0;0;0
56900;62000;35;51;1;16;1;0;0;0
65900;70900;53;64;1;11;1;0;0;0
49000;52000;36;59;1;23;1;0;0;0
56000;65000;26;30;1;4;1;0;0;0
83000;104500;36;62;1;26;1;0;0;0
108500;94500;63;64;1;1;1;0;0;0
37600;50000;6;22;1;16;1;0;0;0
25000;56000;6;38;1;32;1;0;0;0
53000;78000;23;35;1;12;1;0;0;0
27500;29500;7;9;1;2;1;0;0;0
27000;51500;5;22;1;17;1;0;0;0
68000;74000;39;51;1;12;1;0;0;0
24100;40000;9;35;1;26;1;0;0;0
80500;86900;42;56;1;14;1;0;0;0
42500;48500;14;23;1;9;1;0;0;0
24500;24500;10;11;1;1;1;0;0;0
62000;77000;36;50;1;14;1;0;0;0
70900;87500;33;43;1;10;1;0;0;0
19000;35000;12;46;1;34;1;0;0;0
15300;30000;4;60;1;56;1;0;0;0
64000;68500;56;61;1;5;1;0;0;0
27500;33500;11;25;1;14;1;0;0;0
20500;24000;3;29;1;26;1;0;0;0
31400;33000;8;27;1;19;1;0;0;0
35000;37900;8;10;1;2;1;0;0;0
28500;40000;12;26;1;14;1;0;0;0
25500;55000;23;36;1;13;1;0;0;0
67000;74900;31;36;1;5;1;0;0;0
31500;53900;9;27;1;18;1;0;0;0
23900;36000;30;53;1;23;1;0;0;0
68000;74900;31;33;1;2;1;0;0;0
69000;71500;36;47;1;11;1;0;0;0
77500;82500;31;54;1;23;1;0;0;0
22400;30000;11;35;1;24;1;0;0;0
23500;24900;12;14;1;2;1;0;0;0
31500;56500;9;53;1;44;1;0;0;0
157000;184000;39;55;1;16;1;0;0;0
33500;45000;20;29;1;9;1;0;0;0
23900;35000;12;30;1;18;1;0;0;0
15300;16900;5;25;1;20;1;0;0;0
37100;58500;18;31;1;13;1;0;0;0
65000;119500;24;65;1;41;1;0;0;0
78000;136000;27;58;1;31;1;0;0;0
32500;52000;31;48;1;17;1;0;0;0
63500;67900;37;44;1;7;1;0;0;0
52000;74000;22;34;1;12;1;0;0;0
48500;51000;34;46;1;12;1;0;0;0
47000;80600;22;38;1;16;1;0;0;0
18000;42000;20;47;1;27;1;0;0;0
69400;69000;37;45;1;8;1;0;0;0
43500;49900;36;45;1;9;1;0;0;0
31500;38200;11;13;1;2;1;0;0;0
23700;25500;6;9;1;3;1;0;0;0
26000;52000;10;43;1;33;1;0;0;0
48900;63000;36;37;1;1;1;0;0;0
33000;49000;6;27;1;21;1;0;0;0
30000;32500;33;38;1;5;1;0;0;0
27500;26000;28;32;1;4;1;0;0;0
60400;75800;30;38;1;8;1;0;0;0
31800;31300;6;7;1;1;1;0;0;0
44000;55000;15;26;1;11;1;0;0;0
30000;57500;5;36;1;31;1;0;0;0
26500;32000;10;17;1;7;1;0;0;0
16500;23000;5;16;1;11;1;0;0;0
87500;84200;63;64;1;1;1;0;0;0
40000;47500;21;30;1;9;1;0;0;0
61000;69000;25;29;1;4;1;0;0;0
41000;116000;12;59;1;47;1;0;0;0
57900;67900;31;33;1;2;1;0;0;0
25000;28900;17;30;1;13;1;0;0;0
23000;24500;29;30;1;1;1;0;0;0
38500;76000;11;46;1;35;1;0;0;0
85000;141000;16;22;1;6;1;0;0;0
121800;147000;35;55;1;20;1;0;0;0
93500;115000;33;37;1;4;1;0;0;0
35000;39000;59;64;1;5;1;0;0;0
26500;35000;38;48;1;10;1;0;0;0
25000;32000;8;13;1;5;1;0;0;0
51400;61000;27;32;1;5;1;0;0;0
69800;68500;53;57;1;4;1;0;0;0
49500;71100;26;53;1;27;1;0;0;0
52500;87000;29;46;1;17;1;0;0;0
24800;62900;3;46;1;43;1;0;0;0
58700;84600;25;53;1;28;1;0;0;0
28500;55000;20;66;1;46;1;0;0;0
75000;76000;38;46;1;8;1;0;0;0
28200;34000;13;31;1;18;1;0;0;0
85000;104000;33;47;1;14;1;0;0;0
39900;60000;26;47;1;21;1;0;0;0
69500;67000;39;54;1;15;1;0;0;0
96000;96000;43;50;1;7;1;0;0;0
50500;61500;21;29;1;8;1;0;0;0
21500;52000;6;34;1;28;1;0;0;0
85500;89500;24;25;1;1;1;0;0;0
12800;26500;14;34;1;20;1;0;0;0
31500;31500;47;55;1;8;1;0;0;0
50000;52500;33;36;1;3;1;0;0;0
28000;29500;14;23;1;9;1;0;0;0
43000;63500;13;30;1;17;1;0;0;0
36500;62000;12;33;1;21;1;0;0;0
29500;63500;32;38;1;6;1;0;0;0
44000;94000;22;63;1;41;1;0;0;0
74000;77500;40;50;1;10;1;0;0;0
40000;52000;31;57;1;26;1;0;0;0
26000;43000;10;23;1;13;1;0;0;0
54500;73900;30;58;1;28;1;0;0;0
26900;64000;10;38;1;28;1;0;0;0
21000;42000;21;37;1;16;1;0;0;0
21600;26000;30;34;1;4;1;0;0;0
40000;58000;25;51;1;26;1;0;0;0
35500;36600;2;6;1;4;1;0;0;0
62500;77500;25;30;1;5;1;0;0;0
68500;85000;34;54;1;20;1;0;0;0
51000;54900;38;39;1;1;1;0;0;0
32000;42500;19;31;1;12;1;0;0;0
51500;63900;26;32;1;6;1;0;0;0
38500;77500;7;55;1;48;1;0;0;0
36900;40000;34;53;1;19;1;0;0;0
55000;102000;17;53;1;36;1;0;0;0
16500;19000;28;31;1;3;1;0;0;0
42300;74000;5;30;1;25;1;0;0;0
18700;28500;13;27;1;14;1;0;0;0
68500;59000;27;33;1;6;1;0;0;0
55500;78000;31;54;1;23;1;0;0;0
32800;43000;30;53;1;23;1;0;0;0
54000;52500;32;33;1;1;1;0;0;0
34200;47500;5;18;1;13;1;0;0;0
62000;69900;33;46;1;13;1;0;0;0
40000;49000;18;23;1;5;1;0;0;0
31300;56400;10;28;1;18;1;0;0;0
20000;34300;30;58;1;28;1;0;0;0
123000;113000;38;43;1;5;1;0;0;0
20000;15500;17;31;1;14;1;0;0;0
40500;68000;14;30;1;16;1;0;0;0
14500;23500;31;43;1;12;1;0;0;0
21000;28900;5;12;1;7;1;0;0;0
27900;50000;13;46;1;33;1;0;0;0
40000;47300;32;36;1;4;1;0;0;0
49000;72500;21;29;1;8;1;0;0;0
25300;30500;7;26;1;19;1;0;0;0
38000;36800;37;49;1;12;1;0;0;0
37000;41000;16;22;1;6;1;0;0;0
15500;28000;20;53;1;33;1;0;0;0
30000;44800;25;33;1;8;1;0;0;0
23000;60500;17;38;1;21;1;0;0;0
39300;52900;7;14;1;7;1;0;0;0
30800;33900;8;14;1;6;1;0;0;0
55000;58900;21;27;1;6;1;0;0;0
31900;48000;12;32;1;20;1;0;0;0
72000;82500;32;48;1;16;1;0;0;0
45500;74000;25;54;1;29;1;0;0;0
40000;59500;31;46;1;15;1;0;0;0
21000;40000;18;47;1;29;1;0;0;0
53900;68500;28;37;1;9;1;0;0;0
17800;37000;12;54;1;42;1;0;0;0
29500;35600;12;18;1;6;1;0;0;0
30500;29000;38;39;1;1;1;0;0;0
60500;59700;38;46;1;8;1;0;0;0
22000;32500;6;22;1;16;1;0;0;0
38700;72200;17;38;1;21;1;0;0;0
48000;48400;40;44;1;4;1;0;0;0
52700;104000;16;39;1;23;1;0;0;0
72700;76200;59;64;1;5;1;0;0;0
18100;30000;22;38;1;16;1;0;0;0
119000;124500;32;43;1;11;1;0;0;0
40000;56000;27;35;1;8;1;0;0;0
29500;47500;28;58;1;30;1;0;0;0
50000;116000;20;65;1;45;1;0;0;0
33500;47000;15;28;1;13;1;0;0;0
35000;53000;23;37;1;14;1;0;0;0
56000;56000;3;10;1;7;1;0;0;0
34000;66000;17;54;1;37;1;0;0;0
37900;37900;9;10;1;1;1;0;0;0
27500;43900;9;28;1;19;1;0;0;0
53000;67900;28;35;1;7;1;0;0;0
83500;103500;12;18;1;6;1;0;0;0
42000;95000;14;44;1;30;1;0;0;0
42800;81500;10;31;1;21;1;0;0;0
27900;36800;14;32;1;18;1;0;0;0
39000;66000;25;49;1;24;1;0;0;0
32500;47500;10;21;1;11;1;0;0;0
17900;20000;11;30;1;19;1;0;0;0
43000;60000;60;63;1;3;1;0;0;0
32500;52500;26;38;1;12;1;0;0;0
97600;102000;51;64;1;13;1;0;0;0
22100;22000;11;12;1;1;1;0;0;0
33500;63900;15;37;1;22;1;0;0;0
51900;53900;43;49;1;6;1;0;0;0
29500;59000;3;37;1;34;1;0;0;0
21500;33000;5;26;1;21;1;0;0;0
35000;54000;15;32;1;17;1;0;0;0
56000;81500;23;35;1;12;1;0;0;0
33500;45000;37;50;1;13;1;0;0;0
29500;43300;6;23;1;17;1;0;0;0
61000;76000;30;53;1;23;1;0;0;0
51500;55900;25;30;1;5;1;0;0;0
20700;29000;2;25;1;23;1;0;0;0
21900;40000;13;48;1;35;1;0;0;0
54000;54000;57;60;1;3;1;0;0;0
40500;59900;20;31;1;11;1;0;0;0
83000;76500;53;55;1;2;1;0;0;0
28000;28000;56;58;1;2;1;0;0;0
23000;53000;10;64;1;54;1;0;0;0
30000;27500;44;46;1;2;1;0;0;0
54100;90500;15;33;1;18;1;0;0;0
83500;109000;11;26;1;15;1;0;0;0
53900;62000;21;27;1;6;1;0;0;0
17500;40000;26;44;1;18;1;0;0;0
44900;55500;33;44;1;11;1;0;0;0
52500;86000;25;61;1;36;1;0;0;0
35500;54000;28;43;1;15;1;0;0;0
29000;87000;9;63;1;54;1;0;0;0
54500;138000;8;46;1;38;1;0;0;0
24600;43500;19;57;1;38;1;0;0;0
42500;44500;13;14;1;1;1;0;0;0
52500;62000;23;27;1;4;1;0;0;0
30000;73000;23;53;1;30;1;0;0;0
46500;63900;22;31;1;9;1;0;0;0
27000;37000;31;63;1;32;1;0;0;0
28000;70000;12;30;1;18;1;0;0;0
33000;74500;10;53;1;43;1;0;0;0
66400;66400;63;65;1;2;1;0;0;0
46000;64000;24;34;1;10;1;0;0;0
46200;63000;22;33;1;11;1;0;0;0
38700;62000;26;38;1;12;1;0;0;0
28000;34900;26;34;1;8;1;0;0;0
91000;93500;33;39;1;6;1;0;0;0
50900;81000;23;36;1;13;1;0;0;0
48500;71400;24;37;1;13;1;0;0;0
76000;109000;32;37;1;5;1;0;0;0
33000;58000;27;39;1;12;1;0;0;0
38300;46000;15;23;1;8;1;0;0;0
19500;48000;7;57;1;50;1;0;0;0
35000;36500;22;28;1;6;1;0;0;0
24000;25900;14;17;1;3;1;0;0;0
120500;125600;58;59;1;1;1;0;0;0
28400;46000;18;30;1;12;1;0;0;0
50000;51000;31;32;1;1;1;0;0;0
23500;55000;14;63;1;49;1;0;0;0
21200;29000;14;25;1;11;1;0;0;0
99500;102000;35;38;1;3;1;0;0;0
23900;28100;17;26;1;9;1;0;0;0
18000;33500;2;33;1;31;1;0;0;0
36500;47500;21;33;1;12;1;0;0;0
57000;68500;25;31;1;6;1;0;0;0
39500;42500;7;14;1;7;1;0;0;0
78900;170000;12;43;1;31;1;0;0;0
34000;33000;62;64;1;2;1;0;0;0
83000;92000;34;60;1;26;1;0;0;0
19500;46000;35;40;1;5;1;0;0;0
48000;60000;13;25;1;12;1;0;0;0
182500;208000;34;47;1;13;1;0;0;0
30500;41500;28;35;1;7;1;0;0;0
44000;62000;30;35;1;5;1;0;0;0
36500;39500;14;16;1;2;1;0;0;0
33500;46000;6;19;1;13;1;0;0;0
24600;45000;12;56;1;44;1;0;0;0
104000;106000;36;51;1;15;1;0;0;0
50500;65000;29;59;1;30;1;0;0;0
35700;72000;6;30;1;24;1;0;0;0
19900;28000;26;35;1;9;1;0;0;0
31500;43900;4;14;1;10;1;0;0;0
94500;66900;45;46;1;1;1;0;0;0
16000;21500;2;23;1;21;1;0;0;0
47700;69900;23;43;1;20;1;0;0;0
62500;93200;24;51;1;27;1;0;0;0
42000;55500;29;32;1;3;1;0;0;0
29200;56000;10;38;1;28;1;0;0;0
17500;29000;29;38;1;9;1;0;0;0
34000;35500;34;35;1;1;1;0;0;0
24900;25900;16;17;1;1;1;0;0;0
115000;139500;38;54;1;16;1;0;0;0
92500;100000;22;26;1;4;1;0;0;0
22500;51000;4;39;1;35;1;0;0;0
83000;95000;36;60;1;24;1;0;0;0
26000;46500;12;62;1;50;1;0;0;0
43100;42000;19;28;1;9;1;0;0;0
57000;67500;33;44;1;11;1;0;0;0
55500;64900;26;31;1;5;1;0;0;0
29200;74000;6;52;1;46;1;0;0;0
23500;42500;21;38;1;17;1;0;0;0
83000;83000;34;35;1;1;1;0;0;0
47000;53500;9;14;1;5;1;0;0;0
67000;90000;26;45;1;19;1;0;0;0
53500;55000;39;60;1;21;1;0;0;0
74300;78000;36;57;1;21;1;0;0;0
27000;28000;11;12;1;1;1;0;0;0
29500;28900;3;31;1;28;1;0;0;0
84600;148000;19;39;1;20;1;0;0;0
26900;44000;7;28;1;21;1;0;0;0
24000;28900;24;35;1;11;1;0;0;0
23900;34000;15;27;1;12;1;0;0;0
23000;39000;32;47;1;15;1;0;0;0
64000;67500;19;23;1;4;1;0;0;0
27000;47000;27;47;1;20;1;0;0;0
90000;89100;40;48;1;8;1;0;0;0
73400;76000;60;61;1;1;1;0;0;0
16500;23000;19;35;1;16;1;0;0;0
21000;30000;27;35;1;8;1;0;0;0
64000;79800;31;54;1;23;1;0;0;0
116000;248000;24;45;1;21;1;0;0;0
57500;76500;26;38;1;12;1;0;0;0
24500;27500;11;22;1;11;1;0;0;0
52600;64500;38;53;1;15;1;0;0;0
27300;38900;5;28;1;23;1;0;0;0
85400;122500;26;33;1;7;1;0;0;0
62800;95000;1;17;1;16;1;0;0;0
64200;117000;10;29;1;19;1;0;0;0
40300;43800;12;13;1;1;1;0;0;0
40000;80000;28;53;1;25;1;0;0;0
28000;58500;11;58;1;47;1;0;0;0
69000;69900;63;64;1;1;1;0;0;0
62000;63000;39;53;1;14;1;0;0;0
38500;44900;31;37;1;6;1;0;0;0
115000;126000;32;37;1;5;1;0;0;0
57000;65000;30;34;1;4;1;0;0;0
12000;19400;17;19;1;2;1;0;0;0
56000;56500;34;35;1;1;1;0;0;0
49000;75000;22;33;1;11;1;0;0;0
30000;34500;20;23;1;3;1;0;0;0
49000;63500;19;30;1;11;1;0;0;0
47000;62000;20;33;1;13;1;0;0;0
18500;20500;22;26;1;4;1;0;0;0
65000;110000;4;26;1;22;1;0;0;0
48800;64000;35;52;1;17;1;0;0;0
31000;37500;27;30;1;3;1;0;0;0
58700;63000;15;18;1;3;1;0;0;0
36500;40500;5;12;1;7;1;0;0;0
59500;69500;31;44;1;13;1;0;0;0
31000;65000;18;56;1;38;1;0;0;0
33900;39500;17;26;1;9;1;0;0;0
33500;55000;26;40;1;14;1;0;0;0
38000;92000;11;66;1;55;1;0;0;0
66500;71000;40;47;1;7;1;0;0;0
50500;67000;2;17;1;15;1;0;0;0
71500;88000;30;50;1;20;1;0;0;0
53000;55000;32;45;1;13;1;0;0;0
29500;31000;13;17;1;4;1;0;0;0
32000;49900;26;56;1;30;1;0;0;0
31500;78500;9;56;1;47;1;0;0;0
60000;83000;30;46;1;16;1;0;0;0
26500;58000;23;63;1;40;1;0;0;0
157000;188000;32;42;1;10;1;0;0;0
21900;32900;5;31;1;26;1;0;0;0
22000;24000;2;29;1;27;1;0;0;0
39500;40000;37;45;1;8;1;0;0;0
39900;39900;58;59;1;1;1;0;0;0
50500;120000;5;33;1;28;1;0;0;0
30000;34000;56;57;1;1;1;0;0;0
83000;95000;53;65;1;12;1;0;0;0
32000;54500;14;32;1;18;1;0;0;0
30500;44500;9;25;1;16;1;0;0;0
49500;54000;11;16;1;5;1;0;0;0
46000;71000;24;43;1;19;1;0;0;0
45900;46200;12;13;1;1;1;0;0;0
48500;85000;11;57;1;46;1;0;0;0
40000;44600;14;18;1;4;1;0;0;0
41000;43000;22;28;1;6;1;0;0;0
31500;68500;9;39;1;30;1;0;0;0
36500;60900;28;51;1;23;1;0;0;0
29900;28000;38;39;1;1;1;0;0;0
36000;55000;30;39;1;9;1;0;0;0
30400;50000;7;32;1;25;1;0;0;0
27500;40500;12;31;1;19;1;0;0;0
23500;35900;14;34;1;20;1;0;0;0
29000;49000;36;55;1;19;1;0;0;0
65500;72200;3;13;1;10;1;0;0;0
43000;59500;30;37;1;7;1;0;0;0
33500;79000;13;49;1;36;1;0;0;0
75000;86500;57;65;1;8;1;0;0;0
31100;44200;14;25;1;11;1;0;0;0
59000;95000;6;26;1;20;1;0;0;0
103500;143500;25;33;1;8;1;0;0;0
67500;82000;6;18;1;12;1;0;0;0
27200;28900;3;5;1;2;1;0;0;0
29000;33300;17;22;1;5;1;0;0;0
18000;53000;2;55;1;53;1;0;0;0
44000;83000;29;65;1;36;1;0;0;0
54900;100500;10;38;1;28;1;0;0;0
34500;42000;3;14;1;11;1;0;0;0
70000;83000;35;37;1;2;1;0;0;0
33500;62000;26;66;1;40;1;0;0;0
30000;28500;37;38;1;1;1;0;0;0
49700;68000;30;49;1;19;1;0;0;0
34500;34500;28;33;1;5;1;0;0;0
46600;87000;13;36;1;23;1;0;0;0
29000;40000;17;27;1;10;1;0;0;0
48500;57000;6;16;1;10;1;0;0;0
43000;47000;21;25;1;4;1;0;0;0
21500;68500;9;35;1;26;1;0;0;0
66500;67000;60;62;1;2;1;0;0;0
56000;62500;35;58;1;23;1;0;0;0
64400;79700;29;36;1;7;1;0;0;0
58000;62900;35;54;1;19;1;0;0;0
20500;24500;13;29;1;16;1;0;0;0
76700;86000;30;51;1;21;1;0;0;0
26400;59000;14;22;1;8;1;0;0;0
29500;51000;8;27;1;19;1;0;0;0
26500;51900;9;36;1;27;1;0;0;0
25500;39500;24;57;1;33;1;0;0;0
74000;84000;31;54;1;23;1;0;0;0
28900;56900;13;56;1;43;1;0;0;0
44000;49200;31;35;1;4;1;0;0;0
49500;32900;17;20;1;3;1;0;0;0
23500;37000;30;51;1;21;1;0;0;0
41400;55000;30;35;1;5;1;0;0;0
87500;114000;31;50;1;19;1;0;0;0
27700;32000;1;22;1;21;1;0;0;0
55500;76000;21;33;1;12;1;0;0;0
27000;59000;11;53;1;42;1;0;0;0
41000;53500;33;55;1;22;1;0;0;0
27900;27900;34;39;1;5;1;0;0;0
52500;59000;20;25;1;5;1;0;0;0
32500;38000;14;26;1;12;1;0;0;0
31000;37500;2;33;1;31;1;0;0;0
28200;53000;2;31;1;29;1;0;0;0
24400;33500;12;26;1;14;1;0;0;0
38500;81000;12;39;1;27;1;0;0;0
38500;54900;10;23;1;13;1;0;0;0
63700;86000;28;39;1;11;1;0;0;0
60000;82900;28;32;1;4;1;0;0;0
69000;83000;30;35;1;5;1;0;0;0
31400;30600;13;14;1;1;1;0;0;0
35000;38000;8;13;1;5;1;0;0;0
32000;33500;21;25;1;4;1;0;0;0
27900;53000;11;35;1;24;1;0;0;0
113000;119900;36;49;1;13;1;0;0;0
112000;149000;27;35;1;8;1;0;0;0
18500;39000;14;55;1;41;1;0;0;0
34000;64500;13;39;1;26;1;0;0;0
